line=1 time=2025-06-30T05:19:09Z [syftbox] Script PID: 848350
line=2 time=2025-06-30T05:19:09Z [syftbox] Start time: Mon Jun 30 05:19:09 UTC 2025
line=3 time=2025-06-30T05:19:09Z [syftbox] App ID: local.claude-anthropic
line=4 time=2025-06-30T05:19:09Z [syftbox] App Dir: /home/azureuser/SyftBox/apps/claude-anthropic
line=5 time=2025-06-30T05:19:09Z [syftbox] App Port: 40525
line=6 time=2025-06-30T05:19:09Z [syftbox] Client Config Path: /home/azureuser/.syftbox/config.json
line=7 time=2025-06-30T05:19:09Z [syftbox] PATH: /home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.cargo/bin:/home/azureuser/.local/bin:/home/azureuser/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
line=8 time=2025-06-30T05:19:09Z ==========STARTING APP==========
line=9 time=2025-06-30T05:19:09Z Resolved 50 packages in 7ms
line=10 time=2025-06-30T05:19:09Z Audited 47 packages in 0.04ms
line=11 time=2025-06-30T05:19:09Z Running 'claude' with Python 3.12.7 at '/home/azureuser/SyftBox/apps/claude-anthropic/.venv/bin/python3'
line=12 time=2025-06-30T05:19:12Z 2025-06-30 05:19:12.928 | INFO     | syft_event.server2:register_rpc:149 - Register RPC: /completions
line=23 time=2025-06-30T05:19:36Z 2025-06-30 05:19:36.221 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/62da6a86-90d1-490b-9284-75379d25d93c.request
line=24 time=2025-06-30T05:19:36Z 2025-06-30 05:19:36.221 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/62da6a86-90d1-490b-9284-75379d25d93c.request
line=25 time=2025-06-30T05:19:37Z 2025-06-30 05:19:37.425 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/b180f864-6921-46ee-88c1-d6fa6dc55f66.request
line=26 time=2025-06-30T05:19:37Z 2025-06-30 05:19:37.425 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/b180f864-6921-46ee-88c1-d6fa6dc55f66.request
line=27 time=2025-06-30T05:19:39Z 2025-06-30 05:19:39.611 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/37321f1d-22b0-468e-80bc-397b4407fcf7.request
line=28 time=2025-06-30T05:19:39Z 2025-06-30 05:19:39.612 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/37321f1d-22b0-468e-80bc-397b4407fcf7.request
line=29 time=2025-06-30T05:19:43Z 2025-06-30 05:19:43.178 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/116bca45-4a96-456f-8929-ab0596513b1f.request
line=30 time=2025-06-30T05:19:43Z 2025-06-30 05:19:43.179 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/116bca45-4a96-456f-8929-ab0596513b1f.request
line=31 time=2025-06-30T05:19:44Z 2025-06-30 05:19:44.356 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c2fc9264-b1c0-455a-8533-afc8271a0ede.request
line=32 time=2025-06-30T05:19:44Z 2025-06-30 05:19:44.357 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c2fc9264-b1c0-455a-8533-afc8271a0ede.request
line=33 time=2025-06-30T05:19:46Z 2025-06-30 05:19:46.747 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/b892c483-de74-41db-8f0a-e666341e8a82.request
line=34 time=2025-06-30T05:19:46Z 2025-06-30 05:19:46.748 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <b892c483-de74-41db-8f0a-e666341e8a82>from <irina@openmined.org>
line=35 time=2025-06-30T05:19:46Z 2025-06-30 05:19:46.753 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=36 time=2025-06-30T05:19:46Z 2025-06-30 05:19:46.937 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmcing9ma000vn53zfshiv8s7' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 6, 30, 5, 19, 39, 443000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=37 time=2025-06-30T06:16:25Z 2025-06-30 06:16:25.523 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8bd72ada-7592-4acc-9b49-594c32b7d981.request
line=38 time=2025-06-30T06:16:25Z 2025-06-30 06:16:25.523 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8bd72ada-7592-4acc-9b49-594c32b7d981.request
line=39 time=2025-06-30T06:16:26Z 2025-06-30 06:16:26.738 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/fbad84e0-8f46-4a7e-bb52-032dac166b49.request
line=40 time=2025-06-30T06:16:26Z 2025-06-30 06:16:26.739 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/fbad84e0-8f46-4a7e-bb52-032dac166b49.request
line=41 time=2025-06-30T06:16:29Z 2025-06-30 06:16:29.131 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/6065b7b6-228f-486f-9b3e-8f2a98ed721e.request
line=42 time=2025-06-30T06:16:29Z 2025-06-30 06:16:29.132 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <6065b7b6-228f-486f-9b3e-8f2a98ed721e>from <irina@openmined.org>
line=43 time=2025-06-30T06:16:29Z 2025-06-30 06:16:29.133 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=44 time=2025-06-30T06:16:29Z 2025-06-30 06:16:29.359 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmciph6x90000ti3ybf6o6cct' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 6, 30, 6, 16, 21, 838000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=45 time=2025-06-30T06:20:09Z 2025-06-30 06:20:09.885 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/aa4fd0fa-ba14-459c-a724-b4c6c421b62c.request
line=46 time=2025-06-30T06:20:09Z 2025-06-30 06:20:09.886 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/aa4fd0fa-ba14-459c-a724-b4c6c421b62c.request
line=47 time=2025-06-30T06:20:11Z 2025-06-30 06:20:11.113 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/407f4f3e-f1d3-4ea0-a66d-b48f094b8eba.request
line=48 time=2025-06-30T06:20:11Z 2025-06-30 06:20:11.114 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/407f4f3e-f1d3-4ea0-a66d-b48f094b8eba.request
line=49 time=2025-06-30T06:20:13Z 2025-06-30 06:20:13.325 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/809da13c-61ae-489b-81b7-ced998e9af6e.request
line=50 time=2025-06-30T06:20:13Z 2025-06-30 06:20:13.325 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/809da13c-61ae-489b-81b7-ced998e9af6e.request
line=51 time=2025-06-30T06:20:19Z 2025-06-30 06:20:19.102 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/b1cab532-5fe9-4369-9a03-257053372615.request
line=52 time=2025-06-30T06:20:19Z 2025-06-30 06:20:19.103 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/b1cab532-5fe9-4369-9a03-257053372615.request
line=53 time=2025-06-30T06:20:20Z 2025-06-30 06:20:20.327 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/fe321b81-4b36-4c46-988a-7e843e2a194f.request
line=54 time=2025-06-30T06:20:20Z 2025-06-30 06:20:20.327 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/fe321b81-4b36-4c46-988a-7e843e2a194f.request
line=55 time=2025-06-30T06:20:20Z 2025-06-30 06:20:20.651 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/407f4f3e-f1d3-4ea0-a66d-b48f094b8eba.request
line=56 time=2025-06-30T06:20:20Z 2025-06-30 06:20:20.652 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/407f4f3e-f1d3-4ea0-a66d-b48f094b8eba.request
line=57 time=2025-06-30T06:20:22Z 2025-06-30 06:20:22.533 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/581c65a7-9d75-4e2b-a5c4-14e0a5319afa.request
line=58 time=2025-06-30T06:20:22Z 2025-06-30 06:20:22.533 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/581c65a7-9d75-4e2b-a5c4-14e0a5319afa.request
line=59 time=2025-06-30T06:20:26Z 2025-06-30 06:20:26.463 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/355a41fd-452c-471b-8715-647e2dc28062.request
line=60 time=2025-06-30T06:20:26Z 2025-06-30 06:20:26.463 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/355a41fd-452c-471b-8715-647e2dc28062.request
line=61 time=2025-06-30T06:20:27Z 2025-06-30 06:20:27.652 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/fdcefbbf-f649-4f3c-a4ef-951847713387.request
line=62 time=2025-06-30T06:20:27Z 2025-06-30 06:20:27.652 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/fdcefbbf-f649-4f3c-a4ef-951847713387.request
line=63 time=2025-06-30T06:20:30Z 2025-06-30 06:20:30.031 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/2d415a1f-1c8b-4783-9e92-825d82c2014b.request
line=64 time=2025-06-30T06:20:30Z 2025-06-30 06:20:30.032 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <2d415a1f-1c8b-4783-9e92-825d82c2014b>from <irina@openmined.org>
line=65 time=2025-06-30T06:20:30Z 2025-06-30 06:20:30.033 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=66 time=2025-06-30T06:20:30Z 2025-06-30 06:20:30.207 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmcipmcs40002ti3yfc3luow3' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 6, 30, 6, 20, 22, 708000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=67 time=2025-07-01T10:18:41Z 2025-07-01 10:18:41.493 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/20fd04cb-b4bc-4fc7-9803-45f47a051e6b.request
line=68 time=2025-07-01T10:18:41Z 2025-07-01 10:18:41.493 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/20fd04cb-b4bc-4fc7-9803-45f47a051e6b.request
line=69 time=2025-07-01T10:18:42Z 2025-07-01 10:18:42.752 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/68c1563d-3dec-4988-b348-abd107f33e8b.request
line=70 time=2025-07-01T10:18:42Z 2025-07-01 10:18:42.752 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/68c1563d-3dec-4988-b348-abd107f33e8b.request
line=71 time=2025-07-01T10:18:44Z 2025-07-01 10:18:44.991 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c0739758-665c-42bf-86b6-5c9cb5b79089.request
line=72 time=2025-07-01T10:18:44Z 2025-07-01 10:18:44.992 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/c0739758-665c-42bf-86b6-5c9cb5b79089.request
line=73 time=2025-07-01T10:18:48Z 2025-07-01 10:18:48.806 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/528f33c1-21fd-431d-b1b4-7dfc59f6922e.request
line=74 time=2025-07-01T10:18:48Z 2025-07-01 10:18:48.807 | INFO     | __main__:handle_chat_completion_request:108 - Processing chat request: <528f33c1-21fd-431d-b1b4-7dfc59f6922e>from <irina@openmined.org>
line=75 time=2025-07-01T10:18:48Z 2025-07-01 10:18:48.809 | INFO     | __main__:handle_chat_completion_request:112 - Pricing per request: 0.001
line=76 time=2025-07-01T10:18:48Z 2025-07-01 10:18:48.997 | INFO     | __main__:handle_chat_completion_request:117 - Transaction: id='cmckdkobb0005ti3ynr3a6694' senderEmail='irina@openmined.org' recipientEmail='aggregator@openmined.org' createdBy='RECIPIENT' resolvedBy=None amount=0.0 status='PENDING' createdAt=datetime.datetime(2025, 7, 1, 10, 18, 41, 303000, tzinfo=TzInfo(UTC)) resolvedAt=None
line=77 time=2025-07-01T10:19:18Z 2025-07-01 10:19:18.802 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/1241ddf2-da7a-44f0-a5ec-457e5f2c6944.request
line=78 time=2025-07-01T10:19:18Z 2025-07-01 10:19:18.802 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/1241ddf2-da7a-44f0-a5ec-457e5f2c6944.request
line=79 time=2025-07-01T10:19:20Z 2025-07-01 10:19:20.027 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/f99c731f-b647-47fc-87d3-931243c32d26.request
line=80 time=2025-07-01T10:19:20Z 2025-07-01 10:19:20.027 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/f99c731f-b647-47fc-87d3-931243c32d26.request
line=81 time=2025-07-01T10:19:22Z 2025-07-01 10:19:22.467 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/7f8fc82f-1a12-4247-9892-d3de0f1e80b2.request
line=82 time=2025-07-01T10:19:22Z 2025-07-01 10:19:22.468 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/7f8fc82f-1a12-4247-9892-d3de0f1e80b2.request
line=83 time=2025-07-01T10:19:25Z 2025-07-01 10:19:25.652 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8ee40905-0e3b-4e1c-8583-e7875ea583a6.request
line=84 time=2025-07-01T10:19:25Z 2025-07-01 10:19:25.653 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8ee40905-0e3b-4e1c-8583-e7875ea583a6.request
line=85 time=2025-07-01T10:19:26Z 2025-07-01 10:19:26.826 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/2610ab0d-fb04-4e26-a028-021c42a35dc0.request
line=86 time=2025-07-01T10:19:26Z 2025-07-01 10:19:26.826 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/2610ab0d-fb04-4e26-a028-021c42a35dc0.request
line=87 time=2025-07-01T10:19:29Z 2025-07-01 10:19:29.013 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8728f367-cde1-48b6-b576-4ba7147f6d3c.request
line=88 time=2025-07-01T10:19:29Z 2025-07-01 10:19:29.013 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/8728f367-cde1-48b6-b576-4ba7147f6d3c.request
line=89 time=2025-07-01T10:19:30Z 2025-07-01 10:19:30.230 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/1241ddf2-da7a-44f0-a5ec-457e5f2c6944.request
line=90 time=2025-07-01T10:19:30Z 2025-07-01 10:19:30.231 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/1241ddf2-da7a-44f0-a5ec-457e5f2c6944.request
line=91 time=2025-07-01T10:19:33Z 2025-07-01 10:19:33.736 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d88f85d4-edbd-42f5-99dd-0000aacf5247.request
line=92 time=2025-07-01T10:19:33Z 2025-07-01 10:19:33.736 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/d88f85d4-edbd-42f5-99dd-0000aacf5247.request
line=93 time=2025-07-01T10:19:34Z 2025-07-01 10:19:34.952 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/079a1a6f-854f-483a-8ba9-13d2d9442ece.request
line=94 time=2025-07-01T10:19:34Z 2025-07-01 10:19:34.953 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/079a1a6f-854f-483a-8ba9-13d2d9442ece.request
line=95 time=2025-07-01T10:19:37Z 2025-07-01 10:19:37.340 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/1bf2e958-95fc-4e2e-8034-97be21e96f32.request
line=96 time=2025-07-01T10:19:37Z 2025-07-01 10:19:37.341 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/1bf2e958-95fc-4e2e-8034-97be21e96f32.request
line=97 time=2025-07-01T12:03:48Z 2025-07-01 12:03:48.118 | DEBUG    | syft_event.handlers:on_any_event:31 - FSEvent - created - /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/f102fe93-3a9d-44a6-8376-a9e7cf6f5a26.request
line=98 time=2025-07-01T12:03:48Z 2025-07-01 12:03:48.119 | ERROR    | syft_event.server2:__handle_rpc:190 - Error loading request /home/azureuser/SyftBox/datasites/aggregator@openmined.org/app_data/routers/claude/rpc/chat/f102fe93-3a9d-44a6-8376-a9e7cf6f5a26.request
